Backbone,oxidised_smiles,Position,Functional Group,reduced_smiles
C1(N=CC=N2)=C2C=CC=C1,c1ccc2nccnc2c1,,,C1=CC=C2NC=CNC2=C1
C1(N=CC=N2)=C2C=CC=C1,Clc1cnc2ccccc2n1,2.0,Cl,ClC1=CNC2=CC=CC=C2N1
C1(N=CC=N2)=C2C=CC=C1,Clc1cccc2nccnc12,6.0,Cl,ClC1=CC=CC2=C1NC=CN2
C1(N=CC=N2)=C2C=CC=C1,Clc1ccc2nccnc2c1,7.0,Cl,ClC1=CC=C2NC=CNC2=C1
C1(N=CC=N2)=C2C=CC=C1,Nc1cnc2ccccc2n1,2.0,N,NC1=CNC2=CC=CC=C2N1
C1(N=CC=N2)=C2C=CC=C1,Nc1cccc2nccnc12,6.0,N,NC1=CC=CC2=C1NC=CN2
C1(N=CC=N2)=C2C=CC=C1,Nc1ccc2nccnc2c1,7.0,N,NC1=CC=C2NC=CNC2=C1
C1(N=CC=N2)=C2C=CC=C1,O=c1cnc2ccccc2[nH]1,2.0,[OH],O=C1C=NC2=CC=CC=C2N1
C1(N=CC=N2)=C2C=CC=C1,Oc1cccc2nccnc12,6.0,[OH],OC1=CC=CC2=C1NC=CN2
C1(N=CC=N2)=C2C=CC=C1,Oc1ccc2nccnc2c1,7.0,[OH],OC1=CC=C2NC=CNC2=C1
C1(N=CC=N2)=C2C=CC=C1,O=S(=O)(O)c1cnc2ccccc2n1,2.0,S(=O)(=O)O,O=S(=O)(O)C1=CNC2=CC=CC=C2N1
C1(N=CC=N2)=C2C=CC=C1,O=S(=O)(O)c1cccc2nccnc12,6.0,S(=O)(=O)O,O=S(=O)(O)C1=CC=CC2=C1NC=CN2
C1(N=CC=N2)=C2C=CC=C1,O=S(=O)(O)c1ccc2nccnc2c1,7.0,S(=O)(=O)O,O=S(=O)(O)C1=CC=C2NC=CNC2=C1
C1(N=CC=N2)=C2C=CC=C1,O=S(=O)([O-])c1cnc2ccccc2n1,2.0,S(=O)(=O)[O-],O=S(=O)([O-])C1=CNC2=CC=CC=C2N1
